country_id,id,latitude,longitude,name,province_id,slug
6,4981,43.1833333,-5.35,Caso,33.0,caso
6,7895,41.2339967,-0.0440777,Caspe,50.0,caspe
6,2900,40.693301,-2.9788806,Caspueñas,19.0,caspueas
6,911,42.012335,1.8458337,Casserres,8.0,casserres
6,2492,41.8877419,2.8750854,Cassà de la Selva,17.0,cass-de-la-selva
6,191,38.5951885,-0.6722505999999999,Castalla,3.0,castalla
6,1603,39.62780479999999,-5.416543099999999,Castañar de Ibor,10.0,castaar-de-ibor
6,4079,42.5117968,-2.9317147,Castañares de Rioja,26.0,castaares-de-rioja
6,5767,43.3157139,-3.9533202000000003,Castañeda,39.0,castaeda
6,3238,37.8950963,-6.7039425999999995,Castaño del Robledo,21.0,castao-del-robledo
6,2276,40.3822778,-2.5198475,Castejón,16.0,castejn
6,4679,42.1678393,-1.6906363999999998,Castejón,31.0,4679-castejn
6,7896,41.183766299999995,-1.6366133,Castejón de Alarba,50.0,castejn-de-alarba
6,2901,40.9367712,-2.7874915000000002,Castejón de Henares,19.0,castejn-de-henares
6,3365,41.617559,-0.23990749999999997,Castejón de Monegros,22.0,castejn-de-monegros
6,3366,42.5132024,0.49309890000000006,Castejón de Sos,22.0,castejn-de-sos
6,6591,40.9982213,-1.4251826,Castejón de Tornos,44.0,castejn-de-tornos
6,7898,41.9823343,-0.9950376,Castejón de Valdejasa,50.0,castejn-de-valdejasa
6,7897,41.3101863,-1.8120185000000002,Castejón de las Armas,50.0,castejn-de-las-armas
6,3367,41.9623753,0.15692279999999997,Castejón del Puente,22.0,castejn-del-puente
6,6592,40.8024643,-0.6970078000000001,Castel de Cabra,44.0,castel-de-cabra
6,3368,41.8023745,-0.0215957,Castelflorite,22.0,castelflorite
6,1841,40.6607183,0.042875800000000006,Castell de Cabres,12.0,castell-de-cabres
6,192,38.7524176,-0.1748384,Castell de Castells,3.0,castell-de-castells
6,3862,42.105459499999995,0.8560766,Castell de Mur,25.0,castell-de-mur
6,912,42.1731838,1.9457532,Castell de lAreny,8.0,castell-de-lareny
6,2495,41.8180033,3.0670057,Castell-Platja dAro,17.0,castell-platja-daro
6,8690,,,Castellana,28.0,nan
6,1238,42.3285697,-4.0337201,Castellanos de Castro,9.0,castellanos-de-castro
6,5414,41.019734299999996,-5.592543099999999,Castellanos de Moriscos,37.0,castellanos-de-moriscos
6,5415,41.0515611,-5.6938835999999995,Castellanos de Villiquera,37.0,castellanos-de-villiquera
6,427,41.0852445,-4.909803599999999,Castellanos de Zapardiel,5.0,castellanos-de-zapardiel
6,3522,38.2562108,-3.131925,Castellar,23.0,castellar
6,1976,38.5403456,-3.2782687000000004,Castellar de Santiago,13.0,castellar-de-santiago
6,1777,36.2862098,-5.4199373,Castellar de la Frontera,11.0,castellar-de-la-frontera
6,2902,40.8191721,-1.7589438999999998,Castellar de la Muela,19.0,castellar-de-la-muela
6,3863,42.0221059,1.4159928,Castellar de la Ribera,25.0,castellar-de-la-ribera
6,913,42.283257299999995,2.0165740000000003,Castellar de nHug,8.0,castellar-de-nhug
6,914,42.122838,1.7724389999999999,Castellar del Riu,8.0,castellar-del-riu
6,915,41.6161765,2.0856496,Castellar del Vallès,8.0,castellar-del-valls
6,8718,,,Castellar-oliveral,46.0,nan
6,916,41.633888899999995,1.8638888999999998,Castellbell i el Vilar,8.0,castellbell-i-el-vilar
6,917,41.4746738,1.9814068,Castellbisbal,8.0,castellbisbal
6,918,41.760433299999995,2.1486782000000004,Castellcir,8.0,castellcir
6,3864,41.497910499999996,0.7652315,Castelldans,25.0,castelldans
6,919,41.2803885,1.9767744999999999,Castelldefels,8.0,castelldefels
6,920,41.2539133,1.5924776000000003,Castellet i la Gornal,8.0,castellet-i-la-gornal
6,921,41.7759477,1.4378334,Castellfollit de Riubregós,8.0,castellfollit-de-riubregs
6,2493,42.219131,2.5500767000000004,Castellfollit de la Roca,17.0,castellfollit-de-la-roca
6,922,41.6657884,1.6847265,Castellfollit del Boix,8.0,castellfollit-del-boix
6,1842,40.5009172,-0.1906994,Castellfort,12.0,castellfort
6,923,41.6745067,1.8395978,Castellgalí,8.0,castellgal
6,924,41.8353271,1.8373825000000001,Castellnou de Bages,8.0,castellnou-de-bages
6,3865,41.64468660000001,0.9675318000000002,Castellnou de Seana,25.0,castellnou-de-seana
6,1843,39.8625578,-0.4583924,Castellnovo,12.0,castellnovo
6,925,41.5989631,1.7007737,Castellolí,8.0,castellol
6,7062,38.9152052,-0.26342329999999997,Castellonet de la Conquesta,46.0,castellonet-de-la-conquesta
6,6594,40.8004292,-0.32027449999999996,Castellote,44.0,castellote
6,3867,41.74612929999999,0.9867843000000001,Castellserà,25.0,castellser
6,926,41.7478739,2.1230902,Castellterçol,8.0,castellterol
6,6392,41.179993200000006,1.0987049,Castellvell del Camp,43.0,castellvell-del-camp
6,928,41.4503685,1.8994790000000001,Castellví de Rosanes,8.0,castellv-de-rosanes
6,927,41.332421999999994,1.594271,Castellví de la Marca,8.0,castellv-de-la-marca
6,2494,42.258258700000006,3.0744421,Castelló dEmpúries,17.0,castell-dempries
6,3866,41.8164534,0.7320892,Castelló de Farfanya,25.0,castell-de-farfanya
6,7061,38.8758886,-0.38306940000000006,Castelló de Rugat,46.0,castell-de-rugat
6,1844,39.999199,0.0258,Castellón/Castellón de la Plana/Castelló de la Plana,12.0,castelln
6,6595,41.2284175,-0.36494499999999996,Castelnou,44.0,castelnou
6,6596,40.9814176,-0.1479251,Castelserás,44.0,castelsers
6,7063,40.130995299999995,-1.3039533,Castielfabib,46.0,castielfabib
6,3369,42.631900200000004,-0.5506048000000001,Castiello de Jaca,22.0,castiello-de-jaca
6,3370,42.20435,0.5783337,Castigaleu,22.0,castigaleu
6,1239,42.4830663,-3.3845897000000003,Castil de Peones,9.0,castil-de-peones
6,5079,41.984154100000005,-4.958808900000001,Castil de Vela,34.0,castil-de-vela
6,664,39.282290100000004,-5.0909996,Castilblanco,6.0,castilblanco
6,6086,37.6745886,-5.989299900000001,Castilblanco de los Arroyos,41.0,castilblanco-de-los-arroyos
6,1240,42.4372362,-3.0845109,Castildelgado,9.0,castildelgado
6,3634,42.219708399999995,-5.4222459,Castilfalé,24.0,castilfal
6,2903,40.557182,-2.4327810000000003,Castilforte,19.0,castilforte
6,6215,41.9199757,-2.3055765999999998,Castilfrío de la Sierra,42.0,castilfro-de-la-sierra
6,7899,42.376687200000006,-1.274022,Castiliscar,50.0,castiliscar
6,3371,42.0671628,0.0654169,Castillazuelo,22.0,castillazuelo
6,6087,37.4086455,-6.0574084,Castilleja de Guzmán,41.0,castilleja-de-guzmn
6,6088,37.386435399999996,-6.0518379,Castilleja de la Cuesta,41.0,castilleja-de-la-cuesta
6,6089,37.385906299999995,-6.3344496,Castilleja del Campo,41.0,castilleja-del-campo
6,8519,,,Castillejar,18.0,nan
6,2277,39.52582039999999,-1.7613109,Castillejo de Iniesta,16.0,castillejo-de-iniesta
6,5416,40.700368299999994,-6.6456696,Castillejo de Martín Viejo,37.0,castillejo-de-martn-viejo
6,5890,41.2787841,-3.6024705999999997,Castillejo de Mesleón,40.0,castillejo-de-meslen
6,6216,41.5611068,-3.4946688999999997,Castillejo de Robledo,42.0,castillejo-de-robledo
6,2278,40.3756427,-2.1406037999999996,Castillejo-Sierra,16.0,castillejo-sierra
6,6809,40.101139200000006,-4.685131299999999,Castillo de Bayuela,45.0,castillo-de-bayuela
6,2279,39.6604012,-2.3799936,Castillo de Garcimuñoz,16.0,castillo-de-garcimuoz
6,3523,37.5282565,-3.9436777000000003,Castillo de Locubín,23.0,castillo-de-locubn
6,1845,40.1303108,-0.37853509999999996,Castillo de Villamalefa,12.0,castillo-de-villamalefa
